Company1,Company2,,Total Confirmed Meetings
Flames Group SIA,Oksana Antonenko,,70
Flames Group SIA,Olga Saiko,,58
Flames Group SIA,Svyatoslav Belozerov,,42
Lanck Telecom,Ekaterina Lepina,,28
Lanck Telecom,Anna Tsareva,,19
Lanck Telecom,Alena BORISOVA,,16
Lanck Telecom,Andrey Gribov,,15
Lanck Telecom,Vladimir Smal,,13
LEXICO TELECOM LTD,Anna KUZMUK,,42
LEXICO TELECOM LTD,Alisa Sokolenko,,25
LEXICO TELECOM LTD,Erick PAZ,,24
LEXICO TELECOM LTD,Ksenia Shinkaruk,,17
LEXICO TELECOM LTD,Kristina Deltsova,,14
WESTMOUNT TELECOM,Bella Barseghyan,,63
WESTMOUNT TELECOM,Victoria Asoyan,,39
HANSA TELECOM,SERGEY PETROV,,43
HANSA TELECOM,Vitalii Chupakhin,,24
HANSA TELECOM,Kurbatova Victoria,,22
HANSA TELECOM,Pavel Erchak,,10
CORE3 NETWORKS PVT LTD,S B Singh,,56
CORE3 NETWORKS PVT LTD,Jin Liu (Twinkle),,35
Air Voice Incorporation,Vivek Babbar,,87
Voxbone,Orla Prelorentzos,,17
Voxbone,Flora Nkuranga,,14
Voxbone,Brian Torbit,,13
Voxbone,Wendell Owen Alzona,,11
Voxbone,Maxime Gaudissart,,11
SAICOM VOICE SERVICES,Adam Shapiro,,43
SAICOM VOICE SERVICES,Howard SACKSTEIN,,39
Hong Kong Pingmar Technology Company Limited,Cecilia Cai,,33
Hong Kong Pingmar Technology Company Limited,Leo Xiao,,17
Hong Kong Pingmar Technology Company Limited,Johnal Jiang,,13
Hong Kong Pingmar Technology Company Limited,Shelly Cai,,7
Hong Kong Pingmar Technology Company Limited,Henry Tung,,6
